id,task_type,explanation_text,original_srta_score,ground_truth
original_001,CoLA,This sentence is grammatically acceptable: 'The sailors rode the breeze clear of the rocks.'. It follows standard English syntax and semantic rules.,,
original_002,CoLA,This sentence is grammatically acceptable: 'The weights made the rope stretch over the pulley.'. It follows standard English syntax and semantic rules.,,
original_003,CoLA,This sentence is grammatically acceptable: 'The mechanical doll wriggled itself loose.'. It follows standard English syntax and semantic rules.,,
original_004,CoLA,"This sentence is grammatically acceptable: 'If you had eaten more, you would want less.'. It follows standard English syntax and semantic rules.",,
original_005,CoLA,"This sentence has grammatical issues: 'As you eat the most, you want the least.'. It violates standard linguistic rules.",,
original_006,CoLA,"This sentence has grammatical issues: 'The more you would want, the less you would eat.'. It violates standard linguistic rules.",,
original_007,CoLA,"This sentence has grammatical issues: 'I demand that the more John eat, the more he pays.'. It violates standard linguistic rules.",,
original_008,CoLA,"This sentence is grammatically acceptable: 'Mary listens to the Grateful Dead, she gets depressed.'. It follows standard English syntax and semantic rules.",,
original_009,CoLA,"This sentence is grammatically acceptable: 'The angrier Mary got, the more she looked at pictures.'. It follows standard English syntax and semantic rules.",,
original_010,CoLA,"This sentence is grammatically acceptable: 'The higher the stakes, the lower his expectations are.'. It follows standard English syntax and semantic rules.",,
original_011,CoLA,"This sentence is grammatically acceptable: 'The more Fred is obnoxious, the less attention you should pay to him.'. It follows standard English syntax and semantic rules.",,
original_012,CoLA,This sentence is grammatically acceptable: 'John was lots more obnoxious than Fred.'. It follows standard English syntax and semantic rules.,,
original_013,CoLA,"This sentence is grammatically acceptable: 'The more people you give beer to, the more people get sick.'. It follows standard English syntax and semantic rules.",,
original_014,CoLA,"This sentence has grammatical issues: 'The more does Bill smoke, the more Susan hates him.'. It violates standard linguistic rules.",,
original_015,CoLA,"This sentence is grammatically acceptable: 'The more pictures of him that appear in the news, the more embarrassed John becomes.'. It follows standard English syntax and semantic rules.",,
original_016,CoLA,"This sentence is grammatically acceptable: 'Every senator seems to become more corrupt, as he talks to more lobbyists.'. It follows standard English syntax and semantic rules.",,
original_017,CoLA,This sentence has grammatical issues: 'Who does John visit Sally because he likes?'. It violates standard linguistic rules.,,
original_018,CoLA,This sentence is grammatically acceptable: 'Marianne did not leave.'. It follows standard English syntax and semantic rules.,,
original_019,CoLA,This sentence is grammatically acceptable: 'He could not] have been working.'. It follows standard English syntax and semantic rules.,,
original_020,CoLA,This sentence is grammatically acceptable: 'He can not have been working.'. It follows standard English syntax and semantic rules.,,
original_021,CoLA,This sentence is grammatically acceptable: 'You will believe Bob.'. It follows standard English syntax and semantic rules.,,
original_022,CoLA,This sentence is grammatically acceptable: 'John has not kissed Mary.'. It follows standard English syntax and semantic rules.,,
original_023,CoLA,This sentence is grammatically acceptable: 'I said that never in my life had I seen a place like Bangor.'. It follows standard English syntax and semantic rules.,,
original_024,CoLA,This sentence has grammatical issues: 'Mickey looked up it.'. It violates standard linguistic rules.,,
original_025,CoLA,This sentence is grammatically acceptable: 'There tended to be a lot of discussion.'. It follows standard English syntax and semantic rules.,,
original_026,CoLA,This sentence is grammatically acceptable: 'John tried to be a good boy.'. It follows standard English syntax and semantic rules.,,
original_027,CoLA,This sentence is grammatically acceptable: 'John is eager.'. It follows standard English syntax and semantic rules.,,
original_028,CoLA,This sentence is grammatically acceptable: 'We want John to win.'. It follows standard English syntax and semantic rules.,,
original_029,CoLA,This sentence has grammatical issues: 'The box contained the ball from the tree.'. It violates standard linguistic rules.,,
