dataset,item_id,original_text,explanation_text,ground_truth_label,clarity_score,evidence_score,attribution_score,auditability_score,actionability_score,total_score,task_performance,timestamp,premise,hypothesis
CoLA,cola_0,The sailors rode the breeze clear of the rocks.,This sentence is grammatically acceptable: 'The sailors rode the breeze clear of the rocks.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_1,The weights made the rope stretch over the pulley.,This sentence is grammatically acceptable: 'The weights made the rope stretch over the pulley.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_2,The mechanical doll wriggled itself loose.,This sentence is grammatically acceptable: 'The mechanical doll wriggled itself loose.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_3,"If you had eaten more, you would want less.","This sentence is grammatically acceptable: 'If you had eaten more, you would want less.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_4,"As you eat the most, you want the least.","This sentence has grammatical issues: 'As you eat the most, you want the least.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_5,"The more you would want, the less you would eat.","This sentence has grammatical issues: 'The more you would want, the less you would eat.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,96.44201853890542,2025-09-06 21:15:11,,
CoLA,cola_6,"I demand that the more John eat, the more he pays.","This sentence has grammatical issues: 'I demand that the more John eat, the more he pays.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_7,"Mary listens to the Grateful Dead, she gets depressed.","This sentence is grammatically acceptable: 'Mary listens to the Grateful Dead, she gets depressed.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_8,"The angrier Mary got, the more she looked at pictures.","This sentence is grammatically acceptable: 'The angrier Mary got, the more she looked at pictures.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,99.75834566298552,2025-09-06 21:15:11,,
CoLA,cola_9,"The higher the stakes, the lower his expectations are.","This sentence is grammatically acceptable: 'The higher the stakes, the lower his expectations are.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
