qid,temperature,n_runs,n_hallu,hrr,trigger,hallu_span
tqa-0,0.0,5,0,0.0,,
tqa-1,0.0,5,0,0.0,,
tqa-2,0.0,5,0,0.0,,
tqa-3,0.0,5,0,0.0,,
tqa-4,0.0,5,0,0.0,,
tqa-5,0.0,5,0,0.0,,
tqa-6,0.0,5,0,0.0,,
tqa-7,0.0,5,0,0.0,,
tqa-8,0.0,5,0,0.0,,
tqa-9,0.0,5,0,0.0,,
tqa-10,0.0,5,0,0.0,,
tqa-11,0.0,5,0,0.0,,
tqa-12,0.0,5,0,0.0,,
tqa-13,0.0,5,0,0.0,,
tqa-14,0.0,5,0,0.0,,
tqa-15,0.0,5,0,0.0,,
tqa-16,0.0,5,0,0.0,,
tqa-17,0.0,5,0,0.0,,
tqa-18,0.0,5,0,0.0,,
tqa-19,0.0,5,0,0.0,,
tqa-20,0.0,5,0,0.0,,
tqa-21,0.0,5,0,0.0,,
tqa-22,0.0,5,0,0.0,,
tqa-23,0.0,5,0,0.0,,
tqa-24,0.0,5,0,0.0,,
tqa-25,0.0,5,0,0.0,,
tqa-26,0.0,5,0,0.0,,
tqa-27,0.0,5,0,0.0,,
tqa-28,0.0,5,0,0.0,,
tqa-29,0.0,5,0,0.0,,
tqa-30,0.0,5,0,0.0,,
tqa-31,0.0,5,0,0.0,,
tqa-32,0.0,5,0,0.0,,
tqa-33,0.0,5,0,0.0,,
tqa-34,0.0,5,0,0.0,,
tqa-35,0.0,5,0,0.0,,
tqa-36,0.0,5,0,0.0,,
tqa-37,0.0,5,0,0.0,,
tqa-38,0.0,5,0,0.0,,
tqa-39,0.0,5,0,0.0,,
tqa-40,0.0,5,0,0.0,,
tqa-41,0.0,5,0,0.0,,
tqa-42,0.0,5,0,0.0,,
tqa-43,0.0,5,0,0.0,,
tqa-44,0.0,5,0,0.0,,
tqa-45,0.0,5,0,0.0,,
tqa-46,0.0,5,0,0.0,,
tqa-47,0.0,5,0,0.0,,
tqa-48,0.0,5,0,0.0,,
tqa-49,0.0,5,0,0.0,,
tqa-50,0.0,5,0,0.0,,
tqa-51,0.0,5,0,0.0,,
tqa-52,0.0,5,0,0.0,,
tqa-53,0.0,5,0,0.0,,
tqa-54,0.0,5,0,0.0,,
tqa-55,0.0,5,0,0.0,,
tqa-56,0.0,5,0,0.0,,
tqa-57,0.0,5,0,0.0,,
tqa-58,0.0,5,0,0.0,,
tqa-59,0.0,5,0,0.0,,
tqa-60,0.0,5,0,0.0,,
tqa-61,0.0,5,0,0.0,,
tqa-62,0.0,5,0,0.0,,
tqa-63,0.0,5,0,0.0,,
tqa-64,0.0,5,0,0.0,,
tqa-65,0.0,5,0,0.0,,
tqa-66,0.0,5,0,0.0,,
tqa-67,0.0,5,0,0.0,,
tqa-68,0.0,5,0,0.0,,
tqa-69,0.0,5,0,0.0,,
tqa-70,0.0,5,0,0.0,,
tqa-71,0.0,5,0,0.0,,
tqa-72,0.0,5,0,0.0,,
tqa-73,0.0,5,0,0.0,,
tqa-74,0.0,5,0,0.0,,
tqa-75,0.0,5,0,0.0,,
tqa-76,0.0,5,0,0.0,,
tqa-77,0.0,5,0,0.0,,
tqa-78,0.0,5,0,0.0,,
tqa-79,0.0,5,0,0.0,,
tqa-80,0.0,5,0,0.0,,
tqa-81,0.0,5,0,0.0,,
tqa-82,0.0,5,0,0.0,,
tqa-83,0.0,5,0,0.0,,
tqa-84,0.0,5,0,0.0,,
tqa-85,0.0,5,0,0.0,,
tqa-86,0.0,5,0,0.0,,
tqa-87,0.0,5,0,0.0,,
tqa-88,0.0,5,0,0.0,,
tqa-89,0.0,5,0,0.0,,
tqa-90,0.0,5,0,0.0,,
tqa-91,0.0,5,0,0.0,,
tqa-92,0.0,5,0,0.0,,
tqa-93,0.0,5,0,0.0,,
tqa-94,0.0,5,0,0.0,,
tqa-95,0.0,5,0,0.0,,
tqa-96,0.0,5,0,0.0,,
tqa-97,0.0,5,0,0.0,,
tqa-98,0.0,5,0,0.0,,
tqa-99,0.0,5,0,0.0,,
tqa-0,0.2,5,0,0.0,,
tqa-1,0.2,5,0,0.0,,
tqa-2,0.2,5,0,0.0,,
tqa-3,0.2,5,0,0.0,,
tqa-4,0.2,5,0,0.0,,
tqa-5,0.2,5,0,0.0,,
tqa-6,0.2,5,0,0.0,,
tqa-7,0.2,5,0,0.0,,
tqa-8,0.2,5,0,0.0,,
tqa-9,0.2,5,0,0.0,,
tqa-10,0.2,5,0,0.0,,
tqa-11,0.2,5,0,0.0,,
tqa-12,0.2,5,0,0.0,,
tqa-13,0.2,5,0,0.0,,
tqa-14,0.2,5,0,0.0,,
tqa-15,0.2,5,0,0.0,,
tqa-16,0.2,5,0,0.0,,
tqa-17,0.2,5,0,0.0,,
tqa-18,0.2,5,0,0.0,,
tqa-19,0.2,5,0,0.0,,
tqa-20,0.2,5,0,0.0,,
tqa-21,0.2,5,0,0.0,,
tqa-22,0.2,5,0,0.0,,
tqa-23,0.2,5,0,0.0,,
tqa-24,0.2,5,0,0.0,,
tqa-25,0.2,5,0,0.0,,
tqa-26,0.2,5,0,0.0,,
tqa-27,0.2,5,0,0.0,,
tqa-28,0.2,5,0,0.0,,
tqa-29,0.2,5,0,0.0,,
tqa-30,0.2,5,0,0.0,,
tqa-31,0.2,5,0,0.0,,
tqa-32,0.2,5,0,0.0,,
tqa-33,0.2,5,0,0.0,,
tqa-34,0.2,5,0,0.0,,
tqa-35,0.2,5,0,0.0,,
tqa-36,0.2,5,0,0.0,,
tqa-37,0.2,5,0,0.0,,
tqa-38,0.2,5,0,0.0,,
tqa-39,0.2,5,0,0.0,,
tqa-40,0.2,5,0,0.0,,
tqa-41,0.2,5,0,0.0,,
tqa-42,0.2,5,0,0.0,,
tqa-43,0.2,5,0,0.0,,
tqa-44,0.2,5,0,0.0,,
tqa-45,0.2,5,0,0.0,,
tqa-46,0.2,5,0,0.0,,
tqa-47,0.2,5,0,0.0,,
tqa-48,0.2,5,0,0.0,,
tqa-49,0.2,5,0,0.0,,
tqa-50,0.2,5,0,0.0,,
tqa-51,0.2,5,0,0.0,,
tqa-52,0.2,5,0,0.0,,
tqa-53,0.2,5,0,0.0,,
tqa-54,0.2,5,0,0.0,,
tqa-55,0.2,5,0,0.0,,
tqa-56,0.2,5,0,0.0,,
tqa-57,0.2,5,0,0.0,,
tqa-58,0.2,5,0,0.0,,
tqa-59,0.2,5,0,0.0,,
tqa-60,0.2,5,0,0.0,,
tqa-61,0.2,5,0,0.0,,
tqa-62,0.2,5,0,0.0,,
tqa-63,0.2,5,0,0.0,,
tqa-64,0.2,5,0,0.0,,
tqa-65,0.2,5,0,0.0,,
tqa-66,0.2,5,0,0.0,,
tqa-67,0.2,5,0,0.0,,
tqa-68,0.2,5,0,0.0,,
tqa-69,0.2,5,0,0.0,,
tqa-70,0.2,5,0,0.0,,
tqa-71,0.2,5,0,0.0,,
tqa-72,0.2,5,0,0.0,,
tqa-73,0.2,5,0,0.0,,
tqa-74,0.2,5,0,0.0,,
tqa-75,0.2,5,0,0.0,,
tqa-76,0.2,5,0,0.0,,
