sample_id,task_type,principle_overall,expression_overall,audit_overall,consensus_overall,consensus_systematic,consensus_relevant,consensus_transparent,consensus_actionable,timestamp
original_001,CoLA,7.01,7.01,6.51,6.86,5.45,7.55,7.34,7.1,2025-09-07T12:44:30.885637
original_002,CoLA,7.0,7.0,6.5,6.85,5.45,7.55,7.28,7.1,2025-09-07T12:44:30.886638
original_003,CoLA,6.85,6.85,6.35,6.7,5.15,7.25,7.44,6.95,2025-09-07T12:44:30.887644
original_004,CoLA,7.03,7.03,6.53,6.88,5.45,7.55,7.42,7.1,2025-09-07T12:44:30.888642
original_005,CoLA,6.96,6.96,6.46,6.81,5.15,7.25,7.9,6.95,2025-09-07T12:44:30.888642
original_006,CoLA,6.98,6.98,6.48,6.83,5.25,7.35,7.74,7.0,2025-09-07T12:44:30.889641
original_007,CoLA,7.04,7.04,6.54,6.89,5.35,7.45,7.7,7.05,2025-09-07T12:44:30.890641
original_008,CoLA,6.97,6.97,6.47,6.83,5.45,7.55,7.2,7.1,2025-09-07T12:44:30.890641
original_009,CoLA,7.04,7.04,6.54,6.89,5.55,7.65,7.2,7.15,2025-09-07T12:44:30.892646
original_010,CoLA,6.97,6.97,6.47,6.83,5.45,7.55,7.2,7.1,2025-09-07T12:44:30.892646
original_011,CoLA,7.1,7.1,6.6,6.95,5.85,7.75,6.9,7.3,2025-09-07T12:44:30.893641
original_012,CoLA,6.92,6.92,6.42,6.78,5.25,7.35,7.5,7.0,2025-09-07T12:44:30.894644
original_013,CoLA,7.14,7.14,6.64,6.99,5.75,7.85,7.1,7.25,2025-09-07T12:44:30.895644
original_014,CoLA,6.97,6.97,6.47,6.82,5.25,7.35,7.68,7.0,2025-09-07T12:44:30.896646
original_015,CoLA,7.05,7.05,6.55,6.9,6.05,7.55,6.6,7.4,2025-09-07T12:44:30.897641
original_016,CoLA,7.08,7.08,6.58,6.92,5.85,7.75,6.8,7.3,2025-09-07T12:44:30.898645
original_017,CoLA,6.88,6.88,6.38,6.73,5.05,7.15,7.84,6.9,2025-09-07T12:44:30.898645
original_018,CoLA,6.82,6.82,6.32,6.67,4.95,7.05,7.82,6.85,2025-09-07T12:44:30.899642
original_019,CoLA,6.9,6.9,6.4,6.75,5.15,7.25,7.64,6.95,2025-09-07T12:44:30.900647
original_020,CoLA,6.91,6.91,6.41,6.76,5.15,7.25,7.7,6.95,2025-09-07T12:44:30.900647
original_021,CoLA,6.83,6.83,6.33,6.68,4.95,7.05,7.86,6.85,2025-09-07T12:44:30.901645
original_022,CoLA,6.87,6.87,6.37,6.72,5.05,7.15,7.78,6.9,2025-09-07T12:44:30.902640
original_023,CoLA,7.16,7.16,6.66,7.01,5.95,7.65,7.08,7.35,2025-09-07T12:44:30.903642
original_024,CoLA,6.75,6.75,6.25,6.6,4.65,6.75,8.3,6.7,2025-09-07T12:44:30.903642
original_025,CoLA,6.99,6.99,6.49,6.84,5.35,7.45,7.5,7.05,2025-09-07T12:44:30.904642
original_026,CoLA,6.98,6.98,6.48,6.83,5.25,7.35,7.72,7.0,2025-09-07T12:44:30.905646
original_027,CoLA,6.8,6.8,6.3,6.65,4.85,6.95,8.0,6.8,2025-09-07T12:44:30.906645
original_028,CoLA,6.89,6.89,6.39,6.74,5.05,7.15,7.88,6.9,2025-09-07T12:44:30.906645
original_029,CoLA,6.89,6.89,6.39,6.74,5.05,7.15,7.88,6.9,2025-09-07T12:44:30.908645
original_030,CoLA,6.83,6.83,6.33,6.68,4.85,6.95,8.14,6.8,2025-09-07T12:44:30.908645
original_031,CoLA,6.95,6.95,6.45,6.79,5.25,7.35,7.58,7.0,2025-09-07T12:44:30.909640
